Store Name,StoreType,StoreOpeningDate,Address,City,State,Country,Regin,Manager Name
The Green Spot,MBO,1980-08-27,01630 Ashley Mission,South Joshualand,California,Nicaragua,East,Denise
The Super House,Outlet Store,1978-10-09,1700 Ashley Junction,North Vicki,Arizona,Rwanda,East,Jason
The Daily Outlet,MBO,2024-11-14,728 Jennifer Prairie Apt. 840,Port Samantha,California,Croatia,West,Robert
The Happy Corner,MBO,2002-01-18,35048 Christina Extensions Suite 286,West Cynthia,Wisconsin,New Zealand,West,Rachel
The Urban Corner,Exclusive,2018-06-14,46113 Wendy Motorway,Bradleyborough,South Dakota,Faroe Islands,East,Katie
The Happy World,Outlet Store,2014-02-02,832 Schwartz Meadows Apt. 952,New Michael,South Dakota,Argentina,South,Samantha
The Urban Place,SMB,2018-01-21,237 Garcia Islands,Anthonyfurt,Minnesota,Israel,East,Judith
The Silver Place,Exclusive,2000-08-24,79797 Perkins Station Suite 785,Shannonberg,Virginia,Bosnia and Herzegovina,North,Danielle
The Smart Station,MBO,1974-07-02,2553 Carl Trafficway,Haydenborough,Maryland,Western Sahara,East,Cassidy
The Grand Shop,MBO,2006-06-10,1114 Lynn Hills,South Whitneymouth,Maine,Togo,North,James
The Bright Market,MBO,1974-12-06,926 Hailey Ferry Suite 401,North Roger,Utah,Kenya,East,Joseph
