ProductName,Category,Brand,UnitPrice
Portable Hard Drive,Electronics,Everest,658
Speaker,Sports & Recreation,Vertex,474
Pillow,Pets,Vertex,556
Garden Hose,Toys & Games,Everest,266
Snorkel Gear,Electronics,PrimeLine,982
Cooler,Home Appliances,Nova,518
Backpack,Home & Furniture,Nova,118
Craft Kit,Home Appliances,UrbanCore,451
Badminton Set,Home Appliances,UrbanCore,591
Ski Poles,Health & Fitness,Vertex,940
Electric Kettle,Outdoor & Garden,PrimeLine,417
Fire Pit,Home & Furniture,Nova,864
Ping Pong Table,Toys & Games,Nova,494
Speaker,Outdoor & Garden,Everest,141
Electric Toothbrush,Sports & Recreation,PrimeLine,582
Wi-Fi Extender,Health & Fitness,Nova,52
Golf Clubs,Health & Fitness,PrimeLine,411
Kayak,Sports & Recreation,Everest,478
Hiking Backpack,Electronics,Everest,364
Snorkel Gear,Home Appliances,PrimeLine,633
Water Bottle,Kitchen & Dining,Nova,352
Speaker,Electronics,PrimeLine,207
Water Bottle,Kitchen & Dining,PrimeLine,811
Golf Clubs,Home & Furniture,PrimeLine,177
VR Headset,Outdoor & Garden,PrimeLine,651
Electric Kettle,Health & Fitness,Vertex,837
Portable Hard Drive,Health & Fitness,Everest,292
Snorkel Gear,Outdoor & Garden,Everest,957
Kayak,Outdoor & Garden,Everest,900
Portable Hard Drive,Home Appliances,Vertex,598
Fire Pit,Home & Furniture,PrimeLine,698
Craft Kit,Toys & Games,Vertex,965
Garden Hose,Arts & Crafts,PrimeLine,484
Golf Clubs,Electronics,Vertex,309
Dishwasher,Health & Fitness,UrbanCore,492
Keyboard,Kitchen & Dining,Nova,85
Patio Furniture,Toys & Games,UrbanCore,468
Craft Kit,Outdoor & Garden,PrimeLine,127
Electric Kettle,Toys & Games,Everest,686
Kayak,Toys & Games,Everest,561
Camping Chair,Health & Fitness,UrbanCore,111
Dishwasher,Toys & Games,Nova,822
Kayak,Pets,UrbanCore,386
Fire Pit,Outdoor & Garden,PrimeLine,924
Golf Clubs,Sports & Recreation,UrbanCore,571
Hiking Backpack,Home & Furniture,UrbanCore,697
Cooler,Toys & Games,UrbanCore,317
Badminton Set,Pets,UrbanCore,132
Golf Clubs,Arts & Crafts,PrimeLine,334
Wi-Fi Extender,Arts & Crafts,Nova,813
Electric Toothbrush,Sports & Recreation,Vertex,461
Earbuds,Health & Fitness,UrbanCore,871
Wi-Fi Extender,Kitchen & Dining,UrbanCore,439
Tennis Racket,Home Appliances,Vertex,277
Lamp,Pets,Vertex,126
Earbuds,Sports & Recreation,Vertex,620
Ski Poles,Health & Fitness,Nova,968
Portable Hard Drive,Arts & Crafts,PrimeLine,572
Garden Hose,Outdoor & Garden,UrbanCore,908
Action Figure,Electronics,UrbanCore,178
Pillow,Arts & Crafts,PrimeLine,783
Cat Litter Box,Outdoor & Garden,Everest,692
Cooler,Health & Fitness,UrbanCore,653
Dishwasher,Home Appliances,Vertex,895
Sheets,Sports & Recreation,UrbanCore,490
Yoga Mat,Home Appliances,Vertex,307
Portable Hard Drive,Sports & Recreation,PrimeLine,566
Speaker,Arts & Crafts,UrbanCore,134
Keyboard,Home Appliances,PrimeLine,490
Craft Kit,Home & Furniture,UrbanCore,286
Ping Pong Table,Health & Fitness,Vertex,581
Ski Poles,Kitchen & Dining,Nova,334
Portable Hard Drive,Arts & Crafts,Everest,114
Electric Kettle,Electronics,Nova,543
Keyboard,Kitchen & Dining,Vertex,890
Sleeping Pad,Arts & Crafts,Vertex,258
Dishwasher,Arts & Crafts,UrbanCore,260
Electric Kettle,Pets,Everest,745
Wi-Fi Extender,Sports & Recreation,Vertex,565
Wi-Fi Extender,Kitchen & Dining,Vertex,717
Keyboard,Home Appliances,UrbanCore,746
Lamp,Arts & Crafts,Everest,908
Backpack,Pets,Nova,820
Camping Chair,Kitchen & Dining,Everest,261
Cat Litter Box,Home & Furniture,Vertex,620
Sleeping Pad,Pets,UrbanCore,673
Sleeping Pad,Home & Furniture,PrimeLine,242
Keyboard,Kitchen & Dining,Everest,646
Pillow,Pets,PrimeLine,997
Water Bottle,Home Appliances,Nova,503
VR Headset,Electronics,UrbanCore,908
Sheets,Outdoor & Garden,UrbanCore,528
Ping Pong Table,Pets,PrimeLine,396
Cat Litter Box,Health & Fitness,PrimeLine,793
Craft Kit,Outdoor & Garden,Vertex,338
VR Headset,Kitchen & Dining,UrbanCore,452
Golf Clubs,Pets,Nova,703
Hiking Backpack,Sports & Recreation,PrimeLine,888
Wi-Fi Extender,Health & Fitness,Vertex,846
Hiking Backpack,Pets,Nova,918
Hammock,Home Appliances,Everest,410
Ski Poles,Home Appliances,Vertex,437
Electric Kettle,Home & Furniture,PrimeLine,456
Speaker,Home Appliances,Nova,340
Electric Kettle,Health & Fitness,Nova,171
Dishwasher,Health & Fitness,PrimeLine,529
Electric Kettle,Health & Fitness,Vertex,457
Electric Kettle,Electronics,Nova,736
Portable Hard Drive,Home Appliances,Everest,180
Portable Hard Drive,Arts & Crafts,Nova,128
Sleeping Pad,Electronics,Vertex,56
Camping Chair,Kitchen & Dining,UrbanCore,894
Portable Hard Drive,Toys & Games,Nova,134
Lamp,Electronics,Vertex,620
Dishwasher,Health & Fitness,Vertex,857
Sheets,Toys & Games,Nova,59
Craft Kit,Home Appliances,PrimeLine,312
Garden Hose,Sports & Recreation,PrimeLine,631
Keyboard,Health & Fitness,Vertex,786
Hiking Backpack,Arts & Crafts,UrbanCore,858
Backpack,Kitchen & Dining,PrimeLine,983
Keyboard,Electronics,Nova,63
Electric Toothbrush,Outdoor & Garden,Nova,720
Dishwasher,Sports & Recreation,PrimeLine,205
Golf Clubs,Health & Fitness,PrimeLine,315
Lamp,Electronics,Vertex,846
Hiking Backpack,Home Appliances,Nova,235
Keyboard,Pets,Nova,665
Water Bottle,Arts & Crafts,Vertex,387
Patio Furniture,Kitchen & Dining,PrimeLine,370
Water Bottle,Electronics,Everest,402
Ski Poles,Kitchen & Dining,Vertex,502
Dishwasher,Arts & Crafts,PrimeLine,954
Lamp,Kitchen & Dining,Everest,904
Hammock,Electronics,Everest,756
Speaker,Health & Fitness,UrbanCore,826
Hiking Backpack,Outdoor & Garden,Vertex,383
Speaker,Toys & Games,UrbanCore,795
Patio Furniture,Pets,Everest,989
Yoga Mat,Pets,PrimeLine,303
Lamp,Electronics,UrbanCore,269
Pillow,Pets,PrimeLine,483
Cooler,Electronics,PrimeLine,89
Water Bottle,Outdoor & Garden,Everest,234
Sheets,Arts & Crafts,Everest,748
Action Figure,Outdoor & Garden,Vertex,65
Backpack,Outdoor & Garden,Everest,716
Craft Kit,Home & Furniture,PrimeLine,463
Ping Pong Table,Outdoor & Garden,Nova,94
Tennis Racket,Kitchen & Dining,PrimeLine,643
VR Headset,Home Appliances,Vertex,335
Dishwasher,Health & Fitness,PrimeLine,862
Fire Pit,Health & Fitness,PrimeLine,585
Patio Furniture,Health & Fitness,UrbanCore,211
Sleeping Pad,Outdoor & Garden,Nova,200
Badminton Set,Pets,PrimeLine,994
Dishwasher,Health & Fitness,PrimeLine,68
Sheets,Toys & Games,Everest,803
Yoga Mat,Kitchen & Dining,UrbanCore,61
Cooler,Home & Furniture,Nova,151
Electric Kettle,Sports & Recreation,Vertex,806
Hair Dryer,Health & Fitness,Vertex,433
Dishwasher,Home & Furniture,Everest,904
Action Figure,Health & Fitness,UrbanCore,711
Ski Poles,Toys & Games,Nova,609
Portable Hard Drive,Outdoor & Garden,Nova,629
Camping Chair,Health & Fitness,Nova,258
Ski Poles,Sports & Recreation,PrimeLine,361
Garden Hose,Outdoor & Garden,Nova,718
Lamp,Sports & Recreation,Vertex,899
Sleeping Pad,Electronics,UrbanCore,958
Fire Pit,Pets,Everest,410
Ping Pong Table,Pets,Vertex,257
Portable Hard Drive,Toys & Games,Vertex,418
Dishwasher,Home Appliances,UrbanCore,260
Wi-Fi Extender,Home & Furniture,Nova,163
Cat Litter Box,Kitchen & Dining,PrimeLine,523
Camping Chair,Sports & Recreation,Nova,408
Cooler,Outdoor & Garden,Vertex,878
Sleeping Pad,Electronics,Nova,234
Yoga Mat,Toys & Games,Nova,511
Backpack,Home Appliances,Vertex,639
Water Bottle,Health & Fitness,Everest,503
Speaker,Home Appliances,PrimeLine,286
Yoga Mat,Health & Fitness,Nova,999
Camping Chair,Toys & Games,Nova,702
VR Headset,Home Appliances,Everest,504
Tennis Racket,Home Appliances,Nova,341
Fire Pit,Toys & Games,UrbanCore,900
Pillow,Outdoor & Garden,Nova,322
Portable Hard Drive,Pets,UrbanCore,721
Speaker,Electronics,UrbanCore,909
Snorkel Gear,Home Appliances,UrbanCore,559
Water Bottle,Toys & Games,Nova,717
Snorkel Gear,Toys & Games,Nova,654
Ping Pong Table,Kitchen & Dining,Everest,931
Tennis Racket,Sports & Recreation,PrimeLine,583
Dishwasher,Health & Fitness,Vertex,220
Craft Kit,Sports & Recreation,UrbanCore,287
Portable Hard Drive,Home Appliances,UrbanCore,801
Wi-Fi Extender,Toys & Games,Nova,884
Action Figure,Pets,Vertex,776
Fire Pit,Home & Furniture,Vertex,249
Backpack,Home & Furniture,Nova,854
Snorkel Gear,Health & Fitness,Everest,461
Backpack,Toys & Games,UrbanCore,828
Sheets,Arts & Crafts,Vertex,480
Sleeping Pad,Outdoor & Garden,Everest,505
Sleeping Pad,Home Appliances,Everest,860
Water Bottle,Health & Fitness,Vertex,687
Hair Dryer,Home & Furniture,Vertex,284
Snorkel Gear,Pets,Nova,897
Speaker,Home Appliances,Everest,728
Dishwasher,Health & Fitness,UrbanCore,411
Smart Thermostat,Pets,Vertex,630
Hammock,Health & Fitness,PrimeLine,551
Smart Thermostat,Electronics,Nova,593
Lamp,Kitchen & Dining,Nova,416
Craft Kit,Outdoor & Garden,Everest,975
Cooler,Arts & Crafts,Vertex,768
Patio Furniture,Sports & Recreation,PrimeLine,413
Water Bottle,Electronics,Vertex,457
Craft Kit,Toys & Games,Vertex,933
Action Figure,Electronics,Nova,343
Cat Litter Box,Pets,UrbanCore,472
Fire Pit,Toys & Games,Vertex,117
Dishwasher,Home Appliances,PrimeLine,208
Tennis Racket,Pets,Vertex,372
Snorkel Gear,Sports & Recreation,PrimeLine,96
Hammock,Home Appliances,PrimeLine,267
Badminton Set,Home Appliances,UrbanCore,445
Ski Poles,Pets,Vertex,745
Kayak,Electronics,Nova,627
Craft Kit,Home & Furniture,Everest,798
Wi-Fi Extender,Electronics,Everest,902
Keyboard,Arts & Crafts,Everest,429
Lamp,Pets,Vertex,78
Water Bottle,Electronics,PrimeLine,104
Dishwasher,Home & Furniture,Vertex,970
Garden Hose,Arts & Crafts,Everest,208
Craft Kit,Toys & Games,PrimeLine,202
Craft Kit,Electronics,Nova,673
Craft Kit,Pets,Nova,589
Kayak,Toys & Games,Vertex,658
Golf Clubs,Toys & Games,Nova,475
Hiking Backpack,Sports & Recreation,PrimeLine,166
Lamp,Electronics,PrimeLine,897
Wi-Fi Extender,Health & Fitness,Vertex,806
Sheets,Outdoor & Garden,Nova,941
Ski Poles,Arts & Crafts,PrimeLine,507
Smart Thermostat,Pets,Vertex,736
Garden Hose,Electronics,Nova,840
Yoga Mat,Home & Furniture,UrbanCore,115
Smart Thermostat,Sports & Recreation,Nova,59
Wi-Fi Extender,Toys & Games,UrbanCore,304
Action Figure,Sports & Recreation,PrimeLine,189
Ping Pong Table,Kitchen & Dining,Vertex,402
Cooler,Home Appliances,PrimeLine,54
Tennis Racket,Pets,Vertex,796
Pillow,Arts & Crafts,UrbanCore,937
Craft Kit,Home & Furniture,UrbanCore,948
Yoga Mat,Outdoor & Garden,UrbanCore,531
Smart Thermostat,Toys & Games,Nova,347
VR Headset,Health & Fitness,PrimeLine,599
Tennis Racket,Toys & Games,UrbanCore,817
Tennis Racket,Home & Furniture,Nova,836
Electric Kettle,Electronics,UrbanCore,862
Hiking Backpack,Outdoor & Garden,Everest,233
VR Headset,Health & Fitness,UrbanCore,432
Fire Pit,Pets,UrbanCore,840
Earbuds,Electronics,Everest,938
Patio Furniture,Home Appliances,UrbanCore,932
Speaker,Pets,Nova,886
Smart Thermostat,Sports & Recreation,Vertex,914
Electric Toothbrush,Home & Furniture,Vertex,358
Golf Clubs,Kitchen & Dining,Nova,432
Cooler,Health & Fitness,PrimeLine,103
Patio Furniture,Sports & Recreation,UrbanCore,576
Snorkel Gear,Pets,Vertex,496
